filename	onset	offset	event_label
Y-6n82E5zyuY_70.000_80.000.wav	0.03	3.13	Alarm_bell_ringing
Y-6n82E5zyuY_70.000_80.000.wav	8.25	9.35	Alarm_bell_ringing
Y-6p32k2WUCs_0.000_10.000.wav	0.41	9.97	Alarm_bell_ringing
Y-7T1vQ2CgdQ_10.000_20.000.wav	0.73	1.83	Alarm_bell_ringing
Y-7T1vQ2CgdQ_10.000_20.000.wav	2.41	3.09	Alarm_bell_ringing
Y-7T1vQ2CgdQ_10.000_20.000.wav	3.19	3.85	Alarm_bell_ringing
Y-7T1vQ2CgdQ_10.000_20.000.wav	4.93	5.53	Alarm_bell_ringing
Y-7T1vQ2CgdQ_10.000_20.000.wav	5.69	5.87	Alarm_bell_ringing
Y-7T1vQ2CgdQ_10.000_20.000.wav	6.19	7.53	Alarm_bell_ringing
Y-Jnns0s8q2g_22.000_32.000.wav	0.03	1.91	Alarm_bell_ringing
Y-Jnns0s8q2g_22.000_32.000.wav	7.07	7.19	Alarm_bell_ringing
Y-ZgUXgJn4U0_0.000_10.000.wav	4.15	5.11	Alarm_bell_ringing
Y-ZgUXgJn4U0_0.000_10.000.wav	6.53	7.55	Alarm_bell_ringing
Y-ZgUXgJn4U0_0.000_10.000.wav	8.91	9.51	Alarm_bell_ringing
Y-Zjgm_sZd10_0.000_4.000.wav	0.59	2.19	Alarm_bell_ringing
Y-ikrSfqB0LU_0.000_3.000.wav	0.53	2.39	Alarm_bell_ringing
Y-kJT_nUHinA_50.000_60.000.wav	0.03	7.79	Alarm_bell_ringing
Y-pP61DogSPY_30.000_40.000.wav	0.03	3.47	Alarm_bell_ringing
Y-pP61DogSPY_30.000_40.000.wav	4.23	7.33	Alarm_bell_ringing
Y-pP61DogSPY_30.000_40.000.wav	9.13	9.61	Alarm_bell_ringing
Y0F1zmrJb1tI_30.000_40.000.wav	0.03	1.25	Alarm_bell_ringing
Y0F1zmrJb1tI_30.000_40.000.wav	1.65	2.89	Alarm_bell_ringing
Y0FS8b5CAMp8_150.000_160.000.wav	2.31	2.97	Alarm_bell_ringing
Y0FS8b5CAMp8_150.000_160.000.wav	3.65	3.89	Alarm_bell_ringing
Y0FS8b5CAMp8_150.000_160.000.wav	4.35	4.73	Alarm_bell_ringing
Y0IkRggWmlfo_0.000_10.000.wav	4.29	4.35	Alarm_bell_ringing
Y0IkRggWmlfo_0.000_10.000.wav	5.01	6.25	Alarm_bell_ringing
Y0j1-0Y6lGck_120.000_130.000.wav	0.03	8.61	Alarm_bell_ringing
Y17cA4Gv1BZY_220.000_230.000.wav	5.79	9.95	Alarm_bell_ringing
Y1Iv2NfqIrS4_21.000_31.000.wav	0.35	1.43	Alarm_bell_ringing
Y1Iv2NfqIrS4_21.000_31.000.wav	2.79	4.89	Alarm_bell_ringing
Y1bmyWAIQ8kU_60.000_70.000.wav	2.37	7.65	Alarm_bell_ringing
Y1bmyWAIQ8kU_60.000_70.000.wav	8.37	9.97	Alarm_bell_ringing
Y20ARmYU0v4I_10.000_20.000.wav	0.33	4.77	Alarm_bell_ringing
Y20ARmYU0v4I_10.000_20.000.wav	6.39	9.97	Alarm_bell_ringing
Y26ubekDhG_Y_0.000_10.000.wav	0.25	3.03	Alarm_bell_ringing
Y26ubekDhG_Y_0.000_10.000.wav	5.29	7.91	Alarm_bell_ringing
Y2GQHZpe5yjA_50.000_60.000.wav	0.03	9.95	Alarm_bell_ringing
Y2Lr0D12vRyc_20.000_30.000.wav	0.17	6.09	Alarm_bell_ringing
Y2MXgZDIhMBE_140.000_150.000.wav	0.05	6.41	Alarm_bell_ringing
Y2VQtwvIo8qs_470.000_480.000.wav	6.27	9.75	Alarm_bell_ringing
Y2Y0T7yIvKsk_50.000_60.000.wav	0.03	2.39	Alarm_bell_ringing
Y2Y0T7yIvKsk_50.000_60.000.wav	3.83	7.63	Alarm_bell_ringing
Y2rDDBfzFoFE_270.000_280.000.wav	0.19	3.47	Alarm_bell_ringing
Y2rDDBfzFoFE_270.000_280.000.wav	7.97	9.97	Alarm_bell_ringing
Y2xXpSgqrtDE_40.000_50.000.wav	1.45	3.21	Alarm_bell_ringing
