filename	event_labels
Y--CE2f-ttEQ_30.000_40.000.wav	Dog,Speech
Y--ERHDSdxGQ_30.000_40.000.wav	Speech
Y-0nSANmuPxU_10.000_20.000.wav	Dishes,Speech
Y-0x3rJPqtPY_140.000_150.000.wav	Speech,Vacuum_cleaner
Y-146FAIZx8I_40.000_50.000.wav	Speech
Y-1IQfWwrPbc_240.000_250.000.wav	Dishes,Frying,Speech
Y--5uHDNDKxs_30.000_40.000.wav	Cat
Y--GvdHSAsBs_20.000_30.000.wav	Running_water
Y-07O11QVLxo_100.000_110.000.wav	Alarm_bell_ringing
Y-0A1_JR5f34_16.000_26.000.wav	Dog,Speech
Y-1KAjPp2-Vc_120.000_130.000.wav	Dog,Speech
Y-0BScjoz3Z0_10.000_20.000.wav	Dog,Speech
Y--dr8rXrv8k_23.000_33.000.wav	Cat,Speech
Y--nZlHfGCD0_18.000_28.000.wav	Dog,Speech
Y-2C9ZpNhIvg_20.000_30.000.wav	Running_water
Y-2MNizJeLbA_360.000_370.000.wav	Speech,Vacuum_cleaner
Y-2T84hKp5pU_30.000_40.000.wav	Cat
Y-3QYt9CDBRk_30.000_40.000.wav	Cat
Y-3b5grRXXoY_20.000_30.000.wav	Electric_shaver_toothbrush,Speech
Y-1XUnm0C3nc_30.000_40.000.wav	Alarm_bell_ringing,Speech
Y-1gnqVuvMqg_30.000_40.000.wav	Dog
Y-2BR7sVLPCE_13.000_23.000.wav	Cat,Speech
Y-2MX_uVcsms_30.000_40.000.wav	Cat
Y-2kErLFAk5k_30.000_40.000.wav	Cat,Dog,Speech
Y-2wSfX2alxs_30.000_40.000.wav	Dishes,Speech
Y-3jCQXtsa7A_30.000_40.000.wav	Dog,Speech
Y-2XEfT3k5yg_29.000_39.000.wav	Cat
Y-3E36nmSffc_16.000_26.000.wav	Alarm_bell_ringing,Cat
Y-3vj597JFFE_30.000_40.000.wav	Alarm_bell_ringing
Y-42Z-sMh4Qk_110.000_120.000.wav	Alarm_bell_ringing,Speech
Y-49HTaaNAjk_10.000_20.000.wav	Dog,Speech
Y-4V-G01XDGA_140.000_150.000.wav	Speech
Y-4yIYhypF8w_30.000_40.000.wav	Cat
Y-3qVzrEZ8l0_30.000_40.000.wav	Cat,Speech
Y-4RO-xwY_sU_30.000_40.000.wav	Dog,Speech
Y-4W5MXLYr7Y_30.000_40.000.wav	Dog,Speech
Y-4o0jRbgHr4_30.000_40.000.wav	Cat
Y-54naqYCenE_70.000_80.000.wav	Dog
Y-4sst_mzg2w_23.000_33.000.wav	Cat,Speech
Y-3qrk3DOzPY_11.000_21.000.wav	Dog
Y-55UGnqZsOo_8.000_18.000.wav	Cat,Speech
Y-46xqouqMxA_6.000_16.000.wav	Cat
Y-5msR5aVwtg_90.000_100.000.wav	Dog,Speech
Y-5vo2vX3Rb8_180.000_190.000.wav	Speech
Y-5xNaSrvNlw_40.000_50.000.wav	Alarm_bell_ringing
Y-6bSOEg37aM_30.000_40.000.wav	Dog,Speech
Y-6mz1aSpypo_30.000_40.000.wav	Dog,Speech
Y-72belLBy5Q_420.000_430.000.wav	Alarm_bell_ringing
Y-74dab6wYqU_30.000_40.000.wav	Alarm_bell_ringing
Y-7GwHMPKRtg_30.000_40.000.wav	Cat
Y-628WBAudFs_40.000_50.000.wav	Speech
Y-62RXhX5GZk_30.000_40.000.wav	Dog,Speech
Y-6Vl2wMppE0_150.000_160.000.wav	Dog,Speech
Y-6axSq5UpRU_30.000_40.000.wav	Speech
Y-6rhfzzAeTI_10.000_20.000.wav	Dog
Y-5q8Wh2H8fw_22.000_32.000.wav	Cat,Speech
