filename	onset	offset	event_label
Y-6n82E5zyuY_70.000_80.000.wav	0.03	2.77	Alarm_bell_ringing
Y-6n82E5zyuY_70.000_80.000.wav	8.29	9.33	Alarm_bell_ringing
Y-6p32k2WUCs_0.000_10.000.wav	0.41	9.97	Alarm_bell_ringing
Y-7T1vQ2CgdQ_10.000_20.000.wav	0.87	1.85	Alarm_bell_ringing
Y-7T1vQ2CgdQ_10.000_20.000.wav	2.41	3.85	Alarm_bell_ringing
Y-7T1vQ2CgdQ_10.000_20.000.wav	5.19	5.37	Alarm_bell_ringing
Y-7T1vQ2CgdQ_10.000_20.000.wav	5.69	5.83	Alarm_bell_ringing
Y-7T1vQ2CgdQ_10.000_20.000.wav	6.21	6.41	Alarm_bell_ringing
Y-7T1vQ2CgdQ_10.000_20.000.wav	6.61	6.97	Alarm_bell_ringing
Y-7T1vQ2CgdQ_10.000_20.000.wav	7.15	7.37	Alarm_bell_ringing
Y-Jnns0s8q2g_22.000_32.000.wav	0.03	2.07	Alarm_bell_ringing
Y-Jnns0s8q2g_22.000_32.000.wav	2.77	3.01	Alarm_bell_ringing
Y-Jnns0s8q2g_22.000_32.000.wav	6.07	6.53	Alarm_bell_ringing
Y-Jnns0s8q2g_22.000_32.000.wav	6.93	7.39	Alarm_bell_ringing
Y-ZgUXgJn4U0_0.000_10.000.wav	4.15	5.13	Alarm_bell_ringing
Y-ZgUXgJn4U0_0.000_10.000.wav	6.53	7.51	Alarm_bell_ringing
Y-ZgUXgJn4U0_0.000_10.000.wav	8.93	9.51	Alarm_bell_ringing
Y-Zjgm_sZd10_0.000_4.000.wav	0.61	2.17	Alarm_bell_ringing
Y-ikrSfqB0LU_0.000_3.000.wav	0.51	2.55	Alarm_bell_ringing
Y-kJT_nUHinA_50.000_60.000.wav	0.03	7.69	Alarm_bell_ringing
Y-pP61DogSPY_30.000_40.000.wav	0.03	3.53	Alarm_bell_ringing
Y-pP61DogSPY_30.000_40.000.wav	4.23	7.27	Alarm_bell_ringing
Y0F1zmrJb1tI_30.000_40.000.wav	0.03	1.25	Alarm_bell_ringing
Y0F1zmrJb1tI_30.000_40.000.wav	1.63	2.87	Alarm_bell_ringing
Y0FS8b5CAMp8_150.000_160.000.wav	2.35	3.09	Alarm_bell_ringing
Y0FS8b5CAMp8_150.000_160.000.wav	3.57	3.97	Alarm_bell_ringing
Y0FS8b5CAMp8_150.000_160.000.wav	4.51	4.69	Alarm_bell_ringing
Y0IkRggWmlfo_0.000_10.000.wav	4.27	4.33	Alarm_bell_ringing
Y0IkRggWmlfo_0.000_10.000.wav	5.07	6.29	Alarm_bell_ringing
Y0j1-0Y6lGck_120.000_130.000.wav	0.03	8.61	Alarm_bell_ringing
Y17cA4Gv1BZY_220.000_230.000.wav	5.79	9.95	Alarm_bell_ringing
Y1Iv2NfqIrS4_21.000_31.000.wav	0.35	1.43	Alarm_bell_ringing
Y1Iv2NfqIrS4_21.000_31.000.wav	2.87	4.91	Alarm_bell_ringing
Y1bmyWAIQ8kU_60.000_70.000.wav	2.39	7.99	Alarm_bell_ringing
Y1bmyWAIQ8kU_60.000_70.000.wav	8.23	9.97	Alarm_bell_ringing
Y20ARmYU0v4I_10.000_20.000.wav	0.33	4.71	Alarm_bell_ringing
Y20ARmYU0v4I_10.000_20.000.wav	6.39	9.95	Alarm_bell_ringing
Y26ubekDhG_Y_0.000_10.000.wav	0.25	2.97	Alarm_bell_ringing
Y26ubekDhG_Y_0.000_10.000.wav	5.29	7.85	Alarm_bell_ringing
Y2GQHZpe5yjA_50.000_60.000.wav	0.03	9.95	Alarm_bell_ringing
Y2Lr0D12vRyc_20.000_30.000.wav	0.15	6.05	Alarm_bell_ringing
Y2Lr0D12vRyc_20.000_30.000.wav	7.29	7.95	Alarm_bell_ringing
Y2MXgZDIhMBE_140.000_150.000.wav	0.09	6.31	Alarm_bell_ringing
Y2VQtwvIo8qs_470.000_480.000.wav	1.57	1.79	Alarm_bell_ringing
Y2VQtwvIo8qs_470.000_480.000.wav	3.83	4.13	Alarm_bell_ringing
Y2VQtwvIo8qs_470.000_480.000.wav	6.29	9.75	Alarm_bell_ringing
Y2Y0T7yIvKsk_50.000_60.000.wav	0.07	1.69	Alarm_bell_ringing
Y2Y0T7yIvKsk_50.000_60.000.wav	3.89	7.63	Alarm_bell_ringing
Y2rDDBfzFoFE_270.000_280.000.wav	0.21	2.61	Alarm_bell_ringing
Y2rDDBfzFoFE_270.000_280.000.wav	3.29	3.45	Alarm_bell_ringing
Y2rDDBfzFoFE_270.000_280.000.wav	5.19	5.27	Alarm_bell_ringing
Y2rDDBfzFoFE_270.000_280.000.wav	7.99	9.97	Alarm_bell_ringing
Y2xXpSgqrtDE_40.000_50.000.wav	1.45	3.21	Alarm_bell_ringing
Y2xXpSgqrtDE_40.000_50.000.wav	3.69	5.51	Alarm_bell_ringing
Y2xXpSgqrtDE_40.000_50.000.wav	7.11	8.93	Alarm_bell_ringing
Y2xXpSgqrtDE_40.000_50.000.wav	9.35	9.95	Alarm_bell_ringing
Y2xo20i_OZrM_80.000_90.000.wav	1.91	4.53	Alarm_bell_ringing
Y32j2ljoJnrs_30.000_40.000.wav	0.03	1.33	Alarm_bell_ringing
Y32j2ljoJnrs_30.000_40.000.wav	4.45	5.43	Alarm_bell_ringing
Y3BcwNM72zcQ_10.000_20.000.wav	0.53	2.07	Alarm_bell_ringing
Y3BcwNM72zcQ_10.000_20.000.wav	2.97	4.25	Alarm_bell_ringing
Y3BcwNM72zcQ_10.000_20.000.wav	4.75	6.73	Alarm_bell_ringing
Y3BcwNM72zcQ_10.000_20.000.wav	7.27	8.87	Alarm_bell_ringing
Y3DRjPtu_lPs_1.000_11.000.wav	0.03	0.57	Alarm_bell_ringing
Y3DRjPtu_lPs_1.000_11.000.wav	1.09	6.19	Alarm_bell_ringing
Y3DRjPtu_lPs_1.000_11.000.wav	7.01	9.01	Alarm_bell_ringing
